row_num,source,issue,payload
547,sales,wrapped_in:spend,"{""spend"": {""SaleID"": 6242, ""ProductID"": 323, ""CustomerID"": 8724, ""Quantity"": 2, ""TotalAmount"": 74, ""SaleDate"": ""2022-03-24""}}"
560,sales,wrapped_in:course,"{""course"": {""SaleID"": 3988, ""ProductID"": 826, ""CustomerID"": 8583, ""Quantity"": 3, ""TotalAmount"": 291, ""SaleDate"": ""2021-09-10""}}"
584,sales,wrapped_in:simple,"{""simple"": {""SaleID"": 2996, ""ProductID"": 544, ""CustomerID"": 5785, ""Quantity"": 3, ""TotalAmount"": 567, ""SaleDate"": ""2020-09-05""}}"
593,sales,wrapped_in:tonight,"{""tonight"": {""SaleID"": 9301, ""ProductID"": 815, ""CustomerID"": 5926, ""Quantity"": 1, ""TotalAmount"": 156, ""SaleDate"": ""2021-10-11""}}"
598,sales,wrapped_in:eat,"{""eat"": {""SaleID"": 1741, ""ProductID"": 323, ""CustomerID"": 5049, ""Quantity"": 9, ""TotalAmount"": 333, ""SaleDate"": ""2021-12-17""}}"
601,sales,wrapped_in:member,"{""member"": {""SaleID"": 2546, ""ProductID"": 497, ""CustomerID"": 7054, ""Quantity"": 9, ""TotalAmount"": 1584, ""SaleDate"": ""2020-03-06""}}"
645,sales,wrapped_in:our,"{""our"": {""SaleID"": 7685, ""ProductID"": 232, ""CustomerID"": 2318, ""Quantity"": 8, ""TotalAmount"": 1256, ""SaleDate"": ""2021-06-17""}}"
646,sales,wrapped_in:recently,"{""recently"": {""SaleID"": 7667, ""ProductID"": 544, ""CustomerID"": 3934, ""Quantity"": 4, ""TotalAmount"": 756, ""SaleDate"": ""2020-09-04""}}"
671,sales,wrapped_in:country,"{""country"": {""SaleID"": 2331, ""ProductID"": 643, ""CustomerID"": 9352, ""Quantity"": 5, ""TotalAmount"": 930, ""SaleDate"": ""2021-02-18""}}"
686,sales,wrapped_in:attention,"{""attention"": {""SaleID"": 3350, ""ProductID"": 846, ""CustomerID"": 2994, ""Quantity"": 1, ""TotalAmount"": 181, ""SaleDate"": ""2020-03-23""}}"
725,sales,wrapped_in:culture,"{""culture"": {""SaleID"": 3339, ""ProductID"": 930, ""CustomerID"": 1354, ""Quantity"": 9, ""TotalAmount"": 1737, ""SaleDate"": ""2021-01-10""}}"
739,sales,wrapped_in:summer,"{""summer"": {""SaleID"": 6806, ""ProductID"": 177, ""CustomerID"": 1658, ""Quantity"": 3, ""TotalAmount"": 66, ""SaleDate"": ""2020-08-01""}}"
823,sales,wrapped_in:audience,"{""audience"": {""SaleID"": 187, ""ProductID"": 527, ""CustomerID"": 9603, ""Quantity"": 10, ""TotalAmount"": 680, ""SaleDate"": ""2021-07-09""}}"
844,sales,wrapped_in:seek,"{""seek"": {""SaleID"": 4632, ""ProductID"": 343, ""CustomerID"": 8827, ""Quantity"": 4, ""TotalAmount"": 636, ""SaleDate"": ""2022-02-04""}}"
868,sales,wrapped_in:memory,"{""memory"": {""SaleID"": 5924, ""ProductID"": 255, ""CustomerID"": 4810, ""Quantity"": 9, ""TotalAmount"": 1467, ""SaleDate"": ""2021-09-04""}}"
892,sales,wrapped_in:from,"{""from"": {""SaleID"": 2043, ""ProductID"": 503, ""CustomerID"": 1676, ""Quantity"": 6, ""TotalAmount"": 474, ""SaleDate"": ""2023-07-19""}}"
943,sales,wrapped_in:keep,"{""keep"": {""SaleID"": 1528, ""ProductID"": 497, ""CustomerID"": 5394, ""Quantity"": 8, ""TotalAmount"": 1408, ""SaleDate"": ""2022-12-19""}}"
952,sales,wrapped_in:country,"{""country"": {""SaleID"": 9117, ""ProductID"": 637, ""CustomerID"": 9305, ""Quantity"": 10, ""TotalAmount"": 920, ""SaleDate"": ""2023-05-26""}}"
972,sales,wrapped_in:hair,"{""hair"": {""SaleID"": 1614, ""ProductID"": 757, ""CustomerID"": 3024, ""Quantity"": 8, ""TotalAmount"": 1560, ""SaleDate"": ""2022-09-02""}}"
1001,sales,wrapped_in:response,"{""response"": {""SaleID"": 9409, ""ProductID"": 323, ""CustomerID"": 8827, ""Quantity"": 4, ""TotalAmount"": 148, ""SaleDate"": ""2021-05-17""}}"
1014,sales,wrapped_in:daughter,"{""daughter"": {""SaleID"": 2559, ""ProductID"": 125, ""CustomerID"": 9155, ""Quantity"": 1, ""TotalAmount"": 110, ""SaleDate"": ""2021-04-02""}}"
1022,sales,wrapped_in:civil,"{""civil"": {""SaleID"": 2159, ""ProductID"": 183, ""CustomerID"": 8220, ""Quantity"": 7, ""TotalAmount"": 1393, ""SaleDate"": ""2022-02-17""}}"
1063,sales,wrapped_in:cause,"{""cause"": {""SaleID"": 2976, ""ProductID"": 556, ""CustomerID"": 2666, ""Quantity"": 1, ""TotalAmount"": 105, ""SaleDate"": ""2020-07-29""}}"
1092,sales,wrapped_in:marriage,"{""marriage"": {""SaleID"": 6559, ""ProductID"": 445, ""CustomerID"": 7421, ""Quantity"": 10, ""TotalAmount"": 220, ""SaleDate"": ""2023-07-25""}}"
1093,sales,wrapped_in:win,"{""win"": {""SaleID"": 6035, ""ProductID"": 720, ""CustomerID"": 7375, ""Quantity"": 6, ""TotalAmount"": 882, ""SaleDate"": ""2021-01-01""}}"
1123,sales,wrapped_in:focus,"{""focus"": {""SaleID"": 437, ""ProductID"": 512, ""CustomerID"": 1125, ""Quantity"": 2, ""TotalAmount"": 354, ""SaleDate"": ""2022-09-23""}}"
1141,sales,wrapped_in:give,"{""give"": {""SaleID"": 1873, ""ProductID"": 322, ""CustomerID"": 5110, ""Quantity"": 3, ""TotalAmount"": 525, ""SaleDate"": ""2021-07-03""}}"
1172,sales,wrapped_in:recognize,"{""recognize"": {""SaleID"": 5386, ""ProductID"": 174, ""CustomerID"": 1704, ""Quantity"": 1, ""TotalAmount"": 173, ""SaleDate"": ""2023-04-21""}}"
1234,sales,wrapped_in:western,"{""western"": {""SaleID"": 4244, ""ProductID"": 774, ""CustomerID"": 6783, ""Quantity"": 2, ""TotalAmount"": 126, ""SaleDate"": ""2022-09-08""}}"
1239,sales,wrapped_in:decade,"{""decade"": {""SaleID"": 9303, ""ProductID"": 379, ""CustomerID"": 8247, ""Quantity"": 10, ""TotalAmount"": 1800, ""SaleDate"": ""2020-11-23""}}"
1240,sales,wrapped_in:film,"{""film"": {""SaleID"": 2440, ""ProductID"": 512, ""CustomerID"": 6203, ""Quantity"": 5, ""TotalAmount"": 885, ""SaleDate"": ""2022-09-03""}}"
1290,sales,wrapped_in:do,"{""do"": {""SaleID"": 3667, ""ProductID"": 487, ""CustomerID"": 9898, ""Quantity"": 10, ""TotalAmount"": 600, ""SaleDate"": ""2020-03-10""}}"
1292,sales,wrapped_in:live,"{""live"": {""SaleID"": 4148, ""ProductID"": 164, ""CustomerID"": 5176, ""Quantity"": 5, ""TotalAmount"": 545, ""SaleDate"": ""2023-01-22""}}"
1340,sales,wrapped_in:raise,"{""raise"": {""SaleID"": 331, ""ProductID"": 480, ""CustomerID"": 9347, ""Quantity"": 6, ""TotalAmount"": 642, ""SaleDate"": ""2021-05-01""}}"
1403,sales,wrapped_in:fall,"{""fall"": {""SaleID"": 8045, ""ProductID"": 503, ""CustomerID"": 5216, ""Quantity"": 7, ""TotalAmount"": 553, ""SaleDate"": ""2021-11-28""}}"
1449,sales,wrapped_in:smile,"{""smile"": {""SaleID"": 3080, ""ProductID"": 815, ""CustomerID"": 99989, ""Quantity"": 10, ""TotalAmount"": 1560, ""SaleDate"": ""2021-12-30""}}"
1537,sales,wrapped_in:interesting,"{""interesting"": {""SaleID"": 700, ""ProductID"": 177, ""CustomerID"": 6783, ""Quantity"": 9, ""TotalAmount"": 198, ""SaleDate"": ""2023-02-17""}}"
1555,sales,wrapped_in:item,"{""item"": {""SaleID"": 3270, ""ProductID"": 99999, ""CustomerID"": 4087, ""Quantity"": 8, ""TotalAmount"": 136, ""SaleDate"": ""2020-01-20""}}"
1561,sales,wrapped_in:body,"{""body"": {""SaleID"": 1409, ""ProductID"": 167, ""CustomerID"": 3663, ""Quantity"": 10, ""TotalAmount"": 970, ""SaleDate"": ""2021-11-11""}}"
1604,sales,wrapped_in:no,"{""no"": {""SaleID"": 2622, ""ProductID"": 841, ""CustomerID"": 1559, ""Quantity"": 3, ""TotalAmount"": 540, ""SaleDate"": ""2021-06-08""}}"
1614,sales,wrapped_in:college,"{""college"": {""SaleID"": 1553, ""ProductID"": 198, ""CustomerID"": 7375, ""Quantity"": 1, ""TotalAmount"": 14, ""SaleDate"": ""2021-04-29""}}"
1656,sales,wrapped_in:she,"{""she"": {""SaleID"": 788, ""ProductID"": 715, ""CustomerID"": 4396, ""Quantity"": 9, ""TotalAmount"": 333, ""SaleDate"": ""2022-02-12""}}"
1682,sales,wrapped_in:remain,"{""remain"": {""SaleID"": 8558, ""ProductID"": 569, ""CustomerID"": 5714, ""Quantity"": 6, ""TotalAmount"": 1170, ""SaleDate"": ""2022-02-05""}}"
1692,sales,wrapped_in:learn,"{""learn"": {""SaleID"": 8771, ""ProductID"": 726, ""CustomerID"": 9603, ""Quantity"": 10, ""TotalAmount"": 430, ""SaleDate"": ""2022-08-26""}}"
1754,sales,wrapped_in:low,"{""low"": {""SaleID"": 6369, ""ProductID"": 423, ""CustomerID"": 5848, ""Quantity"": 7, ""TotalAmount"": 1323, ""SaleDate"": ""2020-11-25""}}"
1761,sales,wrapped_in:force,"{""force"": {""SaleID"": 4843, ""ProductID"": 815, ""CustomerID"": 4152, ""Quantity"": 5, ""TotalAmount"": 780, ""SaleDate"": ""2022-05-05""}}"
1765,sales,wrapped_in:least,"{""least"": {""SaleID"": 7501, ""ProductID"": 808, ""CustomerID"": 3079, ""Quantity"": 6, ""TotalAmount"": 180, ""SaleDate"": ""2021-07-10""}}"
1782,sales,wrapped_in:happen,"{""happen"": {""SaleID"": 7097, ""ProductID"": 840, ""CustomerID"": 6531, ""Quantity"": 4, ""TotalAmount"": 400, ""SaleDate"": ""2022-07-02""}}"
1799,sales,wrapped_in:control,"{""control"": {""SaleID"": 8069, ""ProductID"": 734, ""CustomerID"": 4152, ""Quantity"": 6, ""TotalAmount"": 522, ""SaleDate"": ""2020-04-29""}}"
1811,sales,wrapped_in:nature,"{""nature"": {""SaleID"": 3432, ""ProductID"": 431, ""CustomerID"": 8666, ""Quantity"": 3, ""TotalAmount"": 477, ""SaleDate"": ""2022-01-07""}}"
1819,sales,wrapped_in:take,"{""take"": {""SaleID"": 8466, ""ProductID"": 726, ""CustomerID"": 3024, ""Quantity"": 9, ""TotalAmount"": 387, ""SaleDate"": ""2020-12-14""}}"
1851,sales,wrapped_in:fly,"{""fly"": {""SaleID"": 8008, ""ProductID"": 374, ""CustomerID"": 6056, ""Quantity"": 9, ""TotalAmount"": 1404, ""SaleDate"": ""2023-05-07""}}"
1933,sales,wrapped_in:leg,"{""leg"": {""SaleID"": 9495, ""ProductID"": 588, ""CustomerID"": 3296, ""Quantity"": 3, ""TotalAmount"": 372, ""SaleDate"": ""2020-04-20""}}"
1988,sales,wrapped_in:each,"{""each"": {""SaleID"": 6795, ""ProductID"": 774, ""CustomerID"": 7535, ""Quantity"": 6, ""TotalAmount"": -21, ""SaleDate"": ""2022-04-24""}}"
2000,sales,wrapped_in:cup,"{""cup"": {""SaleID"": 2273, ""ProductID"": 313, ""CustomerID"": 4396, ""Quantity"": 3, ""TotalAmount"": 177, ""SaleDate"": ""2022-03-28""}}"
2021,sales,wrapped_in:change,"{""change"": {""SaleID"": 9402, ""ProductID"": 271, ""CustomerID"": 8182, ""Quantity"": 1, ""TotalAmount"": 19, ""SaleDate"": ""2021-01-02""}}"
2052,sales,wrapped_in:approach,"{""approach"": {""SaleID"": 9623, ""ProductID"": 838, ""CustomerID"": 8896, ""Quantity"": 6, ""TotalAmount"": 816, ""SaleDate"": ""2020-04-21""}}"
2101,sales,wrapped_in:rise,"{""rise"": {""SaleID"": 903, ""ProductID"": 188, ""CustomerID"": 8492, ""Quantity"": 2, ""TotalAmount"": 100, ""SaleDate"": ""2022-03-05""}}"
2123,sales,wrapped_in:blood,"{""blood"": {""example"": {""SaleID"": 5910, ""ProductID"": 108, ""CustomerID"": 4936, ""Quantity"": 8, ""TotalAmount"": 208, ""SaleDate"": ""2023-08-03""}}}"
2127,sales,wrapped_in:receive,"{""receive"": {""SaleID"": 2274, ""ProductID"": 949, ""CustomerID"": 4936, ""Quantity"": 2, ""TotalAmount"": 118, ""SaleDate"": ""2022-05-25""}}"
2139,sales,wrapped_in:cost,"{""cost"": {""SaleID"": 5204, ""ProductID"": 808, ""CustomerID"": 5624, ""Quantity"": 1, ""TotalAmount"": 30, ""SaleDate"": ""2021-10-14""}}"
2160,sales,wrapped_in:team,"{""team"": {""SaleID"": 959, ""ProductID"": 930, ""CustomerID"": 6218, ""Quantity"": 7, ""TotalAmount"": 1351, ""SaleDate"": ""2020-09-01""}}"
2214,sales,wrapped_in:develop,"{""develop"": {""SaleID"": 2845, ""ProductID"": 750, ""CustomerID"": 3239, ""Quantity"": 6, ""TotalAmount"": 1032, ""SaleDate"": ""2021-05-02""}}"
2227,sales,wrapped_in:change,"{""change"": {""SaleID"": 7117, ""ProductID"": 811, ""CustomerID"": 9547, ""Quantity"": 8, ""TotalAmount"": 1000, ""SaleDate"": ""2021-07-29""}}"
2233,sales,wrapped_in:soon,"{""soon"": {""SaleID"": 9108, ""ProductID"": 811, ""CustomerID"": 8415, ""Quantity"": 8, ""TotalAmount"": 1000, ""SaleDate"": ""2022-08-27""}}"
2252,sales,wrapped_in:step,"{""step"": {""SaleID"": 6635, ""ProductID"": 625, ""CustomerID"": 9467, ""Quantity"": 7, ""TotalAmount"": 42, ""SaleDate"": ""2020-05-14""}}"
2295,sales,wrapped_in:structure,"{""structure"": {""SaleID"": 8280, ""ProductID"": 588, ""CustomerID"": 5544, ""Quantity"": 1, ""TotalAmount"": 124, ""SaleDate"": ""2021-10-30""}}"
2299,sales,wrapped_in:relate,"{""relate"": {""SaleID"": 8899, ""ProductID"": 738, ""CustomerID"": 4078, ""Quantity"": 5, ""TotalAmount"": 395, ""SaleDate"": ""2020-12-22""}}"
2352,sales,wrapped_in:tree,"{""tree"": {""SaleID"": 1200, ""ProductID"": 333, ""CustomerID"": 9898, ""Quantity"": 6, ""TotalAmount"": 42, ""SaleDate"": ""2023-03-27""}}"
2360,sales,wrapped_in:state,"{""state"": {""SaleID"": 3659, ""ProductID"": 254, ""CustomerID"": 5953, ""Quantity"": 1, ""TotalAmount"": 109, ""SaleDate"": ""2021-05-23""}}"
2462,sales,wrapped_in:prove,"{""prove"": {""SaleID"": 7142, ""ProductID"": 729, ""CustomerID"": 7677, ""Quantity"": 9, ""TotalAmount"": 504, ""SaleDate"": ""2021-02-18""}}"
2531,sales,wrapped_in:pay,"{""pay"": {""SaleID"": 2927, ""ProductID"": 164, ""CustomerID"": 3132, ""Quantity"": 6, ""TotalAmount"": 654, ""SaleDate"": ""2020-10-25""}}"
2573,sales,wrapped_in:quickly,"{""quickly"": {""SaleID"": 4248, ""ProductID"": 369, ""CustomerID"": 8353, ""Quantity"": 8, ""TotalAmount"": 488, ""SaleDate"": ""2022-06-23""}}"
2578,sales,wrapped_in:high,"{""high"": {""SaleID"": 1132, ""ProductID"": 837, ""CustomerID"": 2406, ""Quantity"": 9, ""TotalAmount"": 153, ""SaleDate"": ""2021-08-14""}}"
2647,sales,wrapped_in:hot,"{""hot"": {""SaleID"": 7529, ""ProductID"": 283, ""CustomerID"": 3238, ""Quantity"": 7, ""TotalAmount"": 511, ""SaleDate"": ""2020-12-31""}}"
2701,sales,wrapped_in:charge,"{""charge"": {""SaleID"": 4124, ""ProductID"": 697, ""CustomerID"": 9535, ""Quantity"": 9, ""TotalAmount"": 900, ""SaleDate"": ""2023-06-09""}}"
2778,sales,wrapped_in:long,"{""long"": {""SaleID"": 3459, ""ProductID"": 167, ""CustomerID"": 3974, ""Quantity"": 4, ""TotalAmount"": 388, ""SaleDate"": ""2023-06-01""}}"
2794,sales,wrapped_in:he,"{""he"": {""SaleID"": 6666, ""ProductID"": 738, ""CustomerID"": 5084, ""Quantity"": 8, ""TotalAmount"": 632, ""SaleDate"": ""2022-12-25""}}"
2808,sales,wrapped_in:time,"{""time"": {""SaleID"": 8038, ""ProductID"": 374, ""CustomerID"": 3231, ""Quantity"": 9, ""TotalAmount"": 1404, ""SaleDate"": ""2022-05-21""}}"
2836,sales,wrapped_in:single,"{""single"": {""SaleID"": 8778, ""ProductID"": 102, ""CustomerID"": 8512, ""Quantity"": 2, ""TotalAmount"": 368, ""SaleDate"": ""2022-12-28""}}"
2923,sales,wrapped_in:thank,"{""thank"": {""SaleID"": 8087, ""ProductID"": 225, ""CustomerID"": 2604, ""Quantity"": 1, ""TotalAmount"": 146, ""SaleDate"": ""2022-03-12""}}"
2938,sales,wrapped_in:school,"{""school"": {""SaleID"": 2614, ""ProductID"": 617, ""CustomerID"": 7914, ""Quantity"": 4, ""TotalAmount"": 236, ""SaleDate"": ""2022-04-28""}}"
2941,sales,wrapped_in:heavy,"{""heavy"": {""SaleID"": 3195, ""ProductID"": 102, ""CustomerID"": 3753, ""Quantity"": 1, ""TotalAmount"": 184, ""SaleDate"": ""2021-04-04""}}"
2966,sales,wrapped_in:public,"{""public"": {""SaleID"": 1285, ""ProductID"": 188, ""CustomerID"": 99989, ""Quantity"": 6, ""TotalAmount"": 300, ""SaleDate"": ""2020-11-14""}}"
